last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Semien, Marcus,543760,482,19.7,32,110.1,87.1,91.5,83.7,418,183,394,161,33.4,30,6.2,4.7
Turner, Trea,607208,467,9.9,35.5,112.5,88.9,92.1,86.2,439,164,401,198,42.4,37,7.9,5.9
Freeman, Freddie,518692,466,14.1,44.2,112.3,91.3,94.7,87.1,446,188,406,224,48.1,47,10.1,7.5
Guerrero Jr., Vladimir,665489,464,4.6,28.9,118.4,93,98.5,90.5,467,145,407,239,51.5,55,11.9,8.9
Verdugo, Alex,657077,463,8.9,37.8,111,89.1,93.1,86.1,447,163,407,176,38,28,6,4.9
Ramírez, José,608070,457,20.5,33.7,114.2,88.1,91.5,87.1,422,181,390,177,38.7,30,6.6,5.1
Rosario, Amed,642708,455,5.1,30.3,110.8,88.4,92.6,86.7,450,137,411,173,38,21,4.6,3.6
Arraez, Luis,650333,448,12.7,38.2,107.3,88.8,90.7,87.3,403,168,381,135,30.1,17,3.8,3.2
Seager, Corey,608369,443,13,39.7,111.3,91.2,94.9,86.6,435,184,404,202,45.6,47,10.6,7.9
Abreu, José,547989,440,8.3,35,113,92.1,94.7,90.4,451,159,406,226,51.5,41,9.3,6.8
Lindor, Francisco,596019,439,14,29.2,110.7,89.4,93.6,86.9,440,164,392,182,41.5,38,8.7,6.1
Arenado, Nolan,571448,436,21.8,36.7,111.4,88.9,93.1,85.7,428,187,386,174,39.9,37,8.5,6.7
Bichette, Bo,666182,434,9.8,34.8,111.6,91.8,95,89.9,427,164,388,219,50.5,45,10.4,7.3
Mullins, Cedric,656775,430,17.4,28.8,109.4,88.8,91.3,89.3,433,162,391,161,37.4,20,4.7,3.4
Frazier, Adam,624428,430,13.4,37.9,105.1,85.3,89.2,82.2,391,160,344,107,24.9,6,1.4,1.1
Kwan, Steven,680757,429,11.2,33.3,107.1,84.6,87.3,83.2,393,151,377,87,20.3,5,1.2,0.9
Edman, Tommy,669242,426,9.2,31.5,112.8,89.2,92.9,88.2,427,148,393,167,39.2,28,6.6,4.9
Alonso, Pete,624413,424,18.3,34,116.5,90.1,94.7,88.1,447,179,401,196,46.2,51,12,8.4
Nimmo, Brandon,607043,422,6.7,28.2,111.9,89.5,92.3,89,434,144,402,166,39.3,30,7.1,5
Hernández, César,514917,420,8.9,34,110.8,84.5,88,82.7,398,143,398,124,29.5,10,2.4,1.7
Gurriel, Yuli,493329,420,14.6,31,107.1,88.4,90.7,89.5,401,161,377,153,36.4,9,2.1,1.7
Bell, Josh,605137,419,8.8,31.5,112.2,89.5,92.5,88.8,443,147,403,174,41.5,32,7.6,5.4
Bregman, Alex,608324,418,19.6,36.4,109.2,89.1,92.8,85.6,412,187,381,159,38,34,8.1,5.9
Profar, Jurickson,595777,418,13.2,34,109.4,87.5,90.3,85.6,418,156,380,145,34.7,17,4.1,2.9
Betts, Mookie,605141,417,19.1,35,109,90.4,94.5,85.5,421,198,394,187,45,43,10.3,7.6
Bohm, Alec,664761,415,10.3,41,110.8,90.5,93,89.4,426,161,391,184,44.3,28,6.7,5.2
McNeil, Jeff,643446,410,12.6,38,110,86.8,89.7,85.7,410,164,395,125,30.5,9,2.2,1.8
